City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,84.18,72,75,16.11,US,1668983435
1,rikitea,-23.1203,-134.9692,66.24,90,100,11.74,PF,1668983435
2,jurado,7.1053,-77.7641,77.5,92,98,5.46,CO,1668983436
3,ampanihy,-24.7,44.75,70.12,77,96,11.7,MG,1668983436
4,busselton,-33.65,115.3333,55.58,65,0,13.53,AU,1668983437
5,ushuaia,-54.8,-68.3,49.62,71,40,11.5,AR,1668983438
6,gornyy,55.1153,83.9059,5.72,92,100,13.62,RU,1668983438
7,chiriqui grande,8.95,-82.1167,78.4,91,99,3.11,PA,1668983439
8,cefalu,38.0386,14.0229,56.53,79,98,20.0,IT,1668983439
9,vila velha,-20.3297,-40.2925,75.15,90,75,4.61,BR,1668983440
10,cayenne,4.9333,-52.3333,80.64,78,100,2.3,GF,1668983273
11,ribeira grande,38.5167,-28.7,66.78,95,100,7.0,PT,1668983441
12,tarakan,3.3,117.6333,74.7,100,75,3.44,ID,1668983177
13,erenhot,43.6475,111.9767,22.6,41,0,6.8,CN,1668983442
14,hithadhoo,-0.6,73.0833,80.33,77,9,9.22,MV,1668983443
15,kavaratti,10.5669,72.642,80.08,54,80,4.5,IN,1668983443
16,port alfred,-33.5906,26.891,60.19,91,14,8.37,ZA,1668983444
17,meulaboh,4.1363,96.1285,74.34,94,100,4.23,ID,1668983445
18,khatanga,71.9667,102.5,-33.36,100,69,4.79,RU,1668983445
19,tamandare,-8.7597,-35.1047,77.27,77,93,9.33,BR,1668983446
20,carnarvon,-24.8667,113.6333,71.44,37,0,13.76,AU,1668983446
21,srednekolymsk,67.45,153.6833,-34.13,100,54,3.4,RU,1668983447
22,porgera,-5.4667,143.2,53.4,66,100,1.07,PG,1668983448
23,port elizabeth,-33.918,25.5701,56.1,87,0,3.44,ZA,1668983448
24,haines junction,60.7522,-137.5108,35.55,93,100,10.36,CA,1668983449
25,salalah,17.0151,54.0924,75.29,73,20,4.61,OM,1668983450
26,caravelas,-17.7125,-39.2481,71.08,96,100,2.19,BR,1668983450
27,cidreira,-30.1811,-50.2056,70.38,82,87,23.76,BR,1668983451
28,sao joao da barra,-21.6403,-41.0511,77.09,89,19,8.14,BR,1668983451
29,cape town,-33.9258,18.4232,63.27,68,0,14.0,ZA,1668983208
30,hami,42.8,93.45,34.32,50,65,3.51,CN,1668983452
31,butaritari,3.0707,172.7902,80.42,80,16,13.06,KI,1668983453
32,hualmay,-11.0964,-77.6139,66.38,79,83,8.48,PE,1668983453
33,bambous virieux,-20.3428,57.7575,72.21,83,75,5.75,MU,1668983454
34,honningsvag,70.9821,25.9704,37.15,87,100,3.44,NO,1668983455
35,avarua,-21.2078,-159.775,78.85,61,75,10.36,CK,1668983455
36,cherskiy,68.75,161.3,-15.11,98,100,8.01,RU,1668983456
37,ponta do sol,32.6667,-17.1,65.71,72,28,5.75,PT,1668983456
38,cockburn town,21.4612,-71.1419,80.56,69,40,11.5,TC,1668983277
39,vodnyy,63.5046,53.4095,27.41,95,100,9.15,RU,1668983457
40,chuy,-33.6971,-53.4616,68.25,84,100,14.18,UY,1668983458
41,auki,-8.7676,160.7034,85.12,65,21,3.18,SB,1668983459
42,vyborg,60.7076,28.7528,25.93,85,76,5.53,RU,1668983459
43,yellowknife,62.456,-114.3525,19.92,79,75,3.44,CA,1668983460
44,vaitape,-16.5167,-151.75,78.35,74,61,18.14,PF,1668983460
45,agirish,61.9247,63.0231,15.19,88,93,10.4,RU,1668983461
46,bredasdorp,-34.5322,20.0403,56.79,82,0,1.79,ZA,1668983462
47,luderitz,-26.6481,15.1594,63.64,68,95,15.73,NA,1668983463
48,gornopravdinsk,60.05,69.9,-4.38,96,41,5.12,RU,1668983463
49,skjervoy,70.0311,20.9714,17.6,43,0,5.17,NO,1668983464
50,klaksvik,62.2266,-6.589,45.52,87,97,28.43,FO,1668983465
51,albany,42.6001,-73.9662,29.23,33,28,1.01,US,1668983342
52,verkhoyansk,67.5447,133.385,-22.56,100,92,2.06,RU,1668983466
53,le port,-20.9373,55.2919,71.6,77,10,12.44,RE,1668983466
54,punta arenas,-53.15,-70.9167,53.71,54,75,21.85,CL,1668983167
55,westport,41.1415,-73.3579,34.32,37,0,11.5,US,1668983467
56,usinsk,65.9939,57.5281,32.4,98,100,15.59,RU,1668983468
57,katsuura,35.1333,140.3,55.42,95,100,8.3,JP,1668983469
58,vostok,46.4856,135.8833,18.9,95,96,3.51,RU,1668983470
59,krasnyy yar,46.5331,48.3456,40.93,71,100,2.42,RU,1668983470
60,mouila,-1.8685,11.0559,72.91,100,100,1.63,GA,1668983471
61,yarada,17.65,83.2667,75.6,61,99,11.18,IN,1668983471
62,buala,-8.145,159.5921,85.59,61,72,10.49,SB,1668983472
63,humaita,-7.5061,-63.0208,78.48,80,98,3.71,BR,1668983473
64,provideniya,64.3833,-173.3,23.36,86,100,13.42,RU,1668983473
65,viedma,-40.8135,-62.9967,55.78,58,7,14.76,AR,1668983474
66,gore,-46.1028,168.9436,69.4,54,87,4.16,NZ,1668983475
67,port lincoln,-34.7333,135.8667,54.41,56,98,20.83,AU,1668983437
68,vidim,56.4088,103.1106,6.89,79,100,6.26,RU,1668983476
69,jamestown,42.097,-79.2353,22.71,78,100,12.66,US,1668983477
70,coihaique,-45.5752,-72.0662,57.15,44,20,8.05,CL,1668983477
71,pevek,69.7008,170.3133,-19.35,97,100,11.39,RU,1668983478
72,mataura,-46.1927,168.8643,69.96,51,89,4.09,NZ,1668983478
73,chapais,49.7834,-74.8492,6.58,91,100,13.0,CA,1668983479
74,tuatapere,-46.1333,167.6833,67.39,58,100,3.58,NZ,1668983480
